name,govtrack_id,gender,age
Sherrod Brown,400050,M,4
Maria Cantwell,300018,F,4
Benjamin L. Cardin,400064,M,4
Thomas R. Carper,300019,M,4
"Robert P. Casey, Jr.",412246,M,4
Dianne Feinstein,300043,F,4
Amy Klobuchar,412242,F,4
Robert Menendez,400272,M,4
Bernard Sanders,400357,M,4
Debbie Stabenow,300093,F,4
Jon Tester,412244,M,4
Sheldon Whitehouse,412247,M,4
John Barrasso,412251,M,4
Roger F. Wicker,400432,M,4
Susan M. Collins,300025,F,4
John Cornyn,300027,M,4
Richard J. Durbin,300038,M,4
Lindsey Graham,300047,M,4
James M. Inhofe,300055,M,4
Mitch McConnell,300072,M,4
Jeff Merkley,412325,M,4
Jack Reed,300081,M,4
James E. Risch,412322,M,4
Jeanne Shaheen,412323,F,4
Mark R. Warner,412321,M,4
Kirsten E. Gillibrand,412223,F,4
Christopher A. Coons,412390,M,4
"Joe Manchin, III",412391,M,4
Robert B. Aderholt,400004,M,4
Tammy Baldwin,400013,F,4
Karen Bass,412404,F,4
Michael F. Bennet,412330,M,4
Gus M. Bilirakis,412250,M,4
"Sanford D. Bishop, Jr.",400030,M,4
Marsha Blackburn,400032,F,4
Earl Blumenauer,400033,M,4
Richard Blumenthal,412490,M,4
Roy Blunt,400034,M,4
John Boozman,400040,M,4
Kevin Brady,400046,M,4
Mo Brooks,412395,M,4
Vern Buchanan,412196,M,4
Larry Bucshon,412427,M,4
Michael C. Burgess,400052,M,4
Richard Burr,400054,M,4
G. K. Butterfield,400616,M,4
Ken Calvert,400057,M,4
Shelley Moore Capito,400061,F,4
André Carson,412258,M,4
John R. Carter,400068,M,4
Bill Cassidy,412269,M,4
Kathy Castor,412195,F,4
Steve Chabot,400071,M,4
Judy Chu,412379,F,4
David N. Cicilline,412470,M,4
Yvette D. Clarke,412221,F,4
Emanuel Cleaver,400639,M,4
James E. Clyburn,400075,M,4
Steve Cohen,412236,M,4
Tom Cole,400077,M,4
Gerald E. Connolly,412272,M,4
Jim Cooper,400081,M,4
Jim Costa,400618,M,4
Joe Courtney,412193,M,4
Mike Crapo,300030,M,4
Eric A. Rick Crawford,412400,M,4
Henry Cuellar,400657,M,4
Danny K. Davis,400093,M,4
Peter A. DeFazio,400100,M,4
Diana DeGette,400101,F,4
Rosa L. DeLauro,400103,F,4
Scott DesJarlais,412477,M,4
Theodore E. Deutch,412385,M,4
Mario Diaz-Balart,400108,M,4
Lloyd Doggett,400111,M,4
Michael F. Doyle,400114,M,4
Jeff Duncan,412472,M,4
Anna G. Eshoo,400124,F,4
Charles J. Chuck Fleischmann,412476,M,4
Jeff Fortenberry,400640,M,4
Virginia Foxx,400643,F,4
Marcia L. Fudge,412327,F,4
John Garamendi,412382,M,4
Bob Gibbs,412463,M,4
Louie Gohmert,400651,M,4
Paul A. Gosar,412397,M,4
Kay Granger,400157,F,4
Chuck Grassley,300048,M,4
Sam Graves,400158,M,4
Al Green,400653,M,4
H. Morgan Griffith,412485,M,4
Raúl M. Grijalva,400162,M,4
Brett Guthrie,412278,M,4
Andy Harris,412434,M,4
Vicky Hartzler,412444,F,4
Alcee L. Hastings,400170,M,4
Martin Heinrich,412281,M,4
Jaime Herrera Beutler,412486,F,4
Brian Higgins,400641,M,4
James A. Himes,412282,M,4
Mazie K. Hirono,412200,F,4
John Hoeven,412494,M,4
Steny H. Hoyer,400189,M,4
Bill Huizenga,412437,M,4
Sheila Jackson Lee,400199,F,4
Bill Johnson,412460,M,4
Eddie Bernice Johnson,400204,F,4
"Henry C. Hank Johnson, Jr.",412199,M,4
Ron Johnson,412496,M,4
Jim Jordan,412226,M,4
Marcy Kaptur,400211,F,4
William R. Keating,412435,M,4
Mike Kelly,412465,M,4
Ron Kind,400218,M,4
Adam Kinzinger,412421,M,4
Doug Lamborn,412191,M,4
James R. Langevin,400230,M,4
James Lankford,412464,M,4
Rick Larsen,400232,M,4
John B. Larson,400233,M,4
Robert E. Latta,412256,M,4
Patrick J. Leahy,300065,M,4
Barbara Lee,400237,F,4
Mike Lee,412495,M,4
Zoe Lofgren,400245,F,4
Billy Long,412445,M,4
Frank D. Lucas,400247,M,4
Blaine Luetkemeyer,412292,M,4
Ben Ray Luján,412293,M,4
Stephen F. Lynch,400249,M,4
Carolyn B. Maloney,400251,F,4
Edward J. Markey,400253,M,4
Doris O. Matsui,400663,F,4
Kevin McCarthy,412190,M,4
Michael T. McCaul,400654,M,4
Tom McClintock,412295,M,4
Betty McCollum,400259,F,4
James P. McGovern,400263,M,4
Patrick T. McHenry,400644,M,4
David B. McKinley,412487,M,4
Cathy McMorris Rodgers,400659,F,4
Jerry McNerney,412189,M,4
Gregory W. Meeks,400271,M,4
Gwen Moore,400661,F,4
Jerry Moran,400284,M,4
Lisa Murkowski,300075,F,4
Christopher Murphy,412194,M,4
Patty Murray,300076,F,4
Jerrold Nadler,400289,M,4
Grace F. Napolitano,400290,F,4
Richard E. Neal,400291,M,4
Eleanor Holmes Norton,400295,F,4
Devin Nunes,400297,M,4
Steven M. Palazzo,412443,M,4
"Frank Pallone, Jr.",400308,M,4
"Bill Pascrell, Jr.",400309,M,4
Rand Paul,412492,M,4
Nancy Pelosi,400314,F,4
Ed Perlmutter,412192,M,4
Gary C. Peters,412305,M,4
Chellie Pingree,412307,F,4
Rob Portman,400325,M,4
Bill Posey,412309,M,4
David E. Price,400326,M,4
Mike Quigley,412331,M,4
Tom Reed,412393,M,4
Cedric L. Richmond,412432,M,4
Harold Rogers,400340,M,4
Mike Rogers,400341,M,4
Lucille Roybal-Allard,400347,F,4
Marco Rubio,412491,M,4
C. A. Dutch Ruppersberger,400349,M,4
Bobby L. Rush,400350,M,4
Tim Ryan,400352,M,4
Gregorio Kilili Camacho Sablan,412312,M,4
John P. Sarbanes,412212,M,4
Steve Scalise,412261,M,4
Janice D. Schakowsky,400360,F,4
Adam B. Schiff,400361,M,4
Kurt Schrader,412315,M,4
Charles E. Schumer,300087,M,4
David Schweikert,412399,M,4
Austin Scott,412417,M,4
David Scott,400363,M,4
Robert C. Bobby Scott,400364,M,4
Tim Scott,412471,M,4
Terri A. Sewell,412396,F,4
Richard C. Shelby,300089,M,4
Brad Sherman,400371,M,4
Michael K. Simpson,400376,M,4
Albio Sires,412186,M,4
Adam Smith,400379,M,4
Adrian Smith,412217,M,4
Christopher H. Smith,400380,M,4
Jackie Speier,412259,F,4
Steve Stivers,412461,M,4
Linda T. Sánchez,400355,F,4
Bennie G. Thompson,400402,M,4
Mike Thompson,400403,M,4
Glenn Thompson,412317,M,4
John Thune,400546,M,4
Paul Tonko,412319,M,4
Patrick J. Toomey,400408,M,4
Michael R. Turner,400411,M,4
Fred Upton,400414,M,4
Chris Van Hollen,400415,M,4
Nydia M. Velázquez,400416,F,4
Tim Walberg,412213,M,4
Debbie Wasserman Schultz,400623,F,4
Maxine Waters,400422,F,4
Daniel Webster,412410,M,4
Peter Welch,412239,M,4
Joe Wilson,400433,M,4
Frederica S. Wilson,412412,F,4
Robert J. Wittman,412255,M,4
Steve Womack,412402,M,4
Ron Wyden,300100,M,4
John A. Yarmuth,412211,M,4
Don Young,400440,M,4
Todd Young,412428,M,4
Mark E. Amodei,412500,M,4
Suzanne Bonamici,412501,F,4
Suzan K. DelBene,412505,F,4
Thomas Massie,412503,M,4
"Donald M. Payne, Jr.",412506,M,4
Brian Schatz,412507,M,4
Bill Foster,412257,M,4
Dina Titus,412318,F,4
Tom Cotton,412508,M,4
Kyrsten Sinema,412509,F,4
Doug LaMalfa,412510,M,4
Jared Huffman,412511,M,4
Ami Bera,412512,M,4
Eric Swalwell,412514,M,4
Julia Brownley,412516,F,4
Tony Cárdenas,412517,M,4
Raul Ruiz,412519,M,4
