name,govtrack_id,human_rights_conservation,league_of_conservative_voters,planned_parenthood_action_fund,niac_action,american_civil_liberties_union,unted_states_chamber_of_commerce,numbers_usa,the_national_organization_for_the_reform_of_marajuana_laws,americans_for_prosperity,the_club_for_growth,freedomworks
Sherrod Brown,400050,100,100,100,,92,50,,D,,4,
Maria Cantwell,300018,100,100,100,,77,50,,C,,10,
Benjamin L. Cardin,400064,100,100,100,,77,50,,C,,3,
Thomas R. Carper,300019,100,100,100,,85,60,,F,,12,
"Robert P. Casey, Jr.",412246,97,93,70,,54,50,,B,,5,
Dianne Feinstein,300043,100,93,100,,85,40,,D,,6,
Amy Klobuchar,412242,100,100,100,,77,50,,D,,6,
Robert Menendez,400272,100,100,100,,69,50,,D,,12,
Bernard Sanders,400357,100,100,100,,100,40,,A,,9,
Debbie Stabenow,300093,100,100,100,,77,60,,D,,11,
Jon Tester,412244,88,93,100,,77,70,,B,,12,
Sheldon Whitehouse,412247,100,100,100,,69,50,,B,,6,
John Barrasso,412251,0,7,0,,8,70,,F,,81,
Roger F. Wicker,400432,0,7,0,,23,90,,D,,66,
Susan M. Collins,300025,33,21,70,,,70,,B,,33,
John Cornyn,300027,0,7,0,,,90,,F,,79,
Richard J. Durbin,300038,100,100,100,,,50,,D,,3,
Lindsey Graham,300047,12,7,4,,,90,,B,,67,
James M. Inhofe,300055,0,14,0,,10,80,,D,,87,
Mitch McConnell,300072,0,14,8,,,90,,F,,74,
Jeff Merkley,412325,100,100,100,,,40,,A,,7,
Jack Reed,300081,100,100,100,,,50,,B,,5,
James E. Risch,412322,0,7,0,,,70,,F,,86,
Jeanne Shaheen,412323,100,93,100,,,60,,B,,5,
Mark R. Warner,412321,91,100,100,,,70,,B,,9,
Kirsten E. Gillibrand,412223,100,100,100,,92,40,,B,,9,
Christopher A. Coons,412390,94,100,100,,,60,,B,,6,
"Joe Manchin, III",412391,30,43,54,,23,70,,D,,22,
Robert B. Aderholt,400004,0,0,3,,,83,,D,,62,
Tammy Baldwin,400013,100,100,100,,92,60,,B,,4,
Karen Bass,412404,100,66,100,,,50,,C,,11,
Michael F. Bennet,412330,91,100,100,,77,60,,B,,10,
Gus M. Bilirakis,412250,0,6,3,,,91,,D,,66,
"Sanford D. Bishop, Jr.",400030,82,63,96,,,82,,B,,13,
Marsha Blackburn,400032,0,3,3,,15,70,,D,,88,
Earl Blumenauer,400033,100,97,100,,,45,,A,,16,
Richard Blumenthal,412490,100,100,100,,77,50,,C,,5,
Roy Blunt,400034,0,7,0,,15,90,,B,,66,
John Boozman,400040,0,7,0,,0,90,,F,,69,
Kevin Brady,400046,0,3,0,,,91,,D,,79,
Mo Brooks,412395,0,20,6,,,75,,B,,87,
Vern Buchanan,412196,0,40,3,,,82,,C,,58,
Larry Bucshon,412427,0,3,3,,,92,,D,,62,
Michael C. Burgess,400052,0,0,4,,,83,,D,,82,
Richard Burr,400054,0,14,0,,0,89,,D,,74,
G. K. Butterfield,400616,82,91,100,,,50,,B,,7,
Ken Calvert,400057,0,6,3,,,92,,C,,61,
Shelley Moore Capito,400061,0,7,6,,,80,,C,,50,
André Carson,412258,100,94,100,,,67,,B,,,
John R. Carter,400068,0,6,0,,,82,,B,,72,
Bill Cassidy,412269,0,7,0,,,80,,B,,71,
Kathy Castor,412195,100,91,100,,,58,,B,,7,
Steve Chabot,400071,0,3,0,,,3,,F,,91,
Judy Chu,412379,100,97,100,,,50,,B,,9,
David N. Cicilline,412470,100,100,100,,,58,,B,,9,
Yvette D. Clarke,412221,100,100,100,,,50,,B,,9,
Emanuel Cleaver,400639,76,97,100,,,58,,C,,7,
James E. Clyburn,400075,85,94,100,,,58,,B,,7,
Steve Cohen,412236,100,94,100,,,50,,A,,7,
Tom Cole,400077,0,9,0,,,92,,D,,63,
Gerald E. Connolly,412272,100,94,100,,,58,,B,,9,
Jim Cooper,400081,94,86,96,,,67,,B,,22,
Jim Costa,400618,97,69,100,,,70,,B,,17,
Joe Courtney,412193,100,91,100,,,64,,B,,6,
Mike Crapo,300030,0,7,0,,17,70,,D,,80,
Eric A. Rick Crawford,412400,0,6,0,,,83,,D,,64,
Henry Cuellar,400657,85,49,52,,,91,,D,,24,
Danny K. Davis,400093,88,97,100,,,64,,B,,8,
Peter A. DeFazio,400100,100,97,100,,,55,,B,,12,
Diana DeGette,400101,100,91,100,,,55,,B,,9,
Rosa L. DeLauro,400103,100,91,100,,,58,,B,,6,
Scott DesJarlais,412477,0,3,0,,,75,,D,,87,
Theodore E. Deutch,412385,100,94,100,,,73,,B,,7,
Mario Diaz-Balart,400108,15,17,0,,,92,,D,,52,
Lloyd Doggett,400111,100,100,100,,,50,,B,,13,
Michael F. Doyle,400114,100,91,96,,,58,,B,,6,
Jeff Duncan,412472,0,0,0,,,70,,C,,94,
Anna G. Eshoo,400124,100,94,100,,,50,,B,,9,
Charles J. Chuck Fleischmann,412476,0,3,0,,,83,,D,,70,
Jeff Fortenberry,400640,0,20,0,,,82,,D,,58,
Virginia Foxx,400643,0,3,0,,,83,,D,,86,
Marcia L. Fudge,412327,88,89,100,,,58,,B,,7,
John Garamendi,412382,100,91,100,,,58,,B,,6,
Bob Gibbs,412463,0,0,0,,,92,,F,,68,
Louie Gohmert,400651,0,3,0,,,75,,D,,91,
Paul A. Gosar,412397,0,6,0,,,83,,F,,91,
Kay Granger,400157,0,6,0,,,83,,D,,67,
Chuck Grassley,300048,0,0,0,,15,80,,D,,77,
Sam Graves,400158,0,0,0,,,82,,D,,67,
Al Green,400653,91,97,100,,,58,,B,,7,
H. Morgan Griffith,412485,0,3,0,,,83,,C,,74,
Raúl M. Grijalva,400162,100,94,100,,,50,,B,,9,
Brett Guthrie,412278,0,0,0,,,92,,D,,70,
Andy Harris,412434,0,3,0,,,75,,D,,90,
Vicky Hartzler,412444,0,0,0,,,91,,D,,66,
Alcee L. Hastings,400170,100,94,100,,,67,,B,,7,
Martin Heinrich,412281,91,93,100,,92,56,,B,,3,
Jaime Herrera Beutler,412486,15,11,3,,,92,,C,,60,
Brian Higgins,400641,100,91,100,,,58,,B,,6,
James A. Himes,412282,100,91,100,,,67,,B,,9,
Mazie K. Hirono,412200,100,100,100,,92,50,,B,,4,
John Hoeven,412494,0,7,0,,5,90,,D,,55,
Steny H. Hoyer,400189,97,63,100,,,50,,B,,7,
Bill Huizenga,412437,0,0,0,,,92,,D,,82,
Sheila Jackson Lee,400199,100,97,100,,,50,,B,,7,
Bill Johnson,412460,0,0,0,,,92,,D,,59,
